stage,engine,query,filter,sel,threads,warm_s
g-250k,D-WIDE,Q5,F1,S0,4,0.005735
g-250k,D-WIDE,Q5,F2,S0,1,0.007146
g-250k,D-WIDE,Q5,F2,S0,4,0.006559
g-250k,D-JOIN,Q2,F1,S0,1,0.037912
g-250k,D-JOIN,Q2,F1,S0,4,0.024758
g-250k,D-JOIN,Q2,F2,S0,1,0.025459
g-250k,D-JOIN,Q2,F2,S0,4,0.021946
g-250k,D-JOIN,Q5,F1,S0,1,0.038424
g-250k,D-JOIN,Q5,F1,S0,4,0.022921
g-250k,D-JOIN,Q5,F2,S0,1,0.024707
g-250k,D-JOIN,Q5,F2,S0,4,0.020727
g-250k,A-ALIGNED,Q2,F1,S0,1,0.008510
g-250k,A-ALIGNED,Q2,F1,S0,4,0.007921
g-250k,A-ALIGNED,Q2,F2,S0,1,0.007000
g-250k,A-ALIGNED,Q2,F2,S0,4,0.008006
g-250k,A-ALIGNED,Q5,F1,S0,1,0.008572
g-250k,A-ALIGNED,Q5,F1,S0,4,0.009921
g-250k,A-ALIGNED,Q5,F2,S0,1,0.008424
g-250k,A-ALIGNED,Q5,F2,S0,4,0.007667
g-250k,A-NORMAL,Q2,F1,S0,1,0.008928
g-250k,A-NORMAL,Q2,F1,S0,4,0.007959
g-250k,A-NORMAL,Q2,F2,S0,1,0.007085
g-250k,A-NORMAL,Q2,F2,S0,4,0.007459
g-250k,A-NORMAL,Q5,F1,S0,1,0.009747
g-250k,A-NORMAL,Q5,F1,S0,4,0.009068
g-250k,A-NORMAL,Q5,F2,S0,1,0.007773
g-250k,A-NORMAL,Q5,F2,S0,4,0.009554
g-250k,P-CONCAT,Q2,F1,S0,1,0.0514
g-250k,P-CONCAT,Q2,F1,S0,4,0.0361
g-250k,P-CONCAT,Q2,F2,S0,1,0.0513
g-250k,P-CONCAT,Q2,F2,S0,4,0.0406
g-250k,P-CONCAT,Q5,F1,S0,1,0.1046
g-250k,P-CONCAT,Q5,F1,S0,4,0.1268
g-250k,P-CONCAT,Q5,F2,S0,1,0.1043
g-250k,P-CONCAT,Q5,F2,S0,4,0.1013
g-250k,P-JOIN,Q2,F1,S0,1,0.1627
g-250k,P-JOIN,Q2,F1,S0,4,0.0729
g-250k,P-JOIN,Q2,F2,S0,1,0.1582
g-250k,P-JOIN,Q2,F2,S0,4,0.0720
g-250k,P-JOIN,Q5,F1,S0,1,0.3959
g-250k,P-JOIN,Q5,F1,S0,4,0.1719
g-250k,P-JOIN,Q5,F2,S0,1,0.3742
g-250k,P-JOIN,Q5,F2,S0,4,0.1950
g-sparse-90,D-WIDE,Q2,F2,S1,1,0.005389
g-sparse-90,D-WIDE,Q2,F2,S1,4,0.005919
